keys,en-US,it-IT,da-DK,de-AT,nl-NL,sr-SP,mk-MK,bg-BG,hr-HR,ro-RO
application.title,Flickr Portal,Flickr Portal,Flickr Portal,Flickr Portal,Flickr Portal,Flickr Portal,Flickr Portal,Flickr Portal,Flickr Portal,Flickr Portal
language.available,We are available in {nlang} languages,Sono disponibili {nlang} lingue,Vi er tilgængelige i {nlang} sprog,verfügbar in {nlang} Sprachen,We zijn beschikbaar in {nllang} talen,Dostupni smo u {nlang} jezicima,,,Dostupni smo u  {nlang} jezicima,
language.changeLanguage,Change language,Cambia la lingua,Skift sprog,Sprache ändern,Verander taal,Promjeni jezik,Промени јазик,смяна на език,Promjeni jezik,Schimbă limba
language.chooseLanguage,Choose a language,Scegli una lingua,Vælg et sprog,Sprache auswählen,Kies een taal,Izaberi jezik,Изберете јазик,Изберете език,Izaberi jezik,Alege o limbă
language.plusMore,plus {nlang} more,più altre {nlang},samt mere,???,en {nlang} meer,Prikaži još,,,Prikaži još,
language.search,Search languages...,Trova lingue...,Søg efter sprog...,Sprache suchen...,Zoek talen...,Traži jezike...,Барај јазици...,Търсене езици...,Traži jezike...,Căutare limbi...
login.username,Username,Nome utente,Brugernavn,Benutzername,Gebruikersnaam,Korisničko ime,Корисничко име,Потребителско име,Korisničko ime,Nume utilizator
login.password,Password,Password,Password,Passwort,Wachtwoord,Lozinka,Лозинка,парола,Lozinka,Parolă
login.rememberMe,Remember me,Ricordami,Husk mig,Erinnere mich,Onthoud mij,Zapamti me,Запомни ме,запомни ме,Zapamti me,Ține-mă minte
login.signIn,Sign in,Accedi,Log ind,einschreiben,Inloggen,Prijavi se,Пријави се,вписване,Prijavi se,Conectare
login.title,Flickr Portal administration sign in,,,,,Prijavljivanje administratora na Flickr Portal,,,Prijavljivanje administratora na Flickr Portal,
home.logout,Logout,Disconnetti,Log ud,ausloggen,Log uit,Odjavljivanje,Одјавување ,отписване,Odjavljivanje,Deconectare
home.availablePhotos,Available photos,,,,,Dostupne fotografije,,,Dostupne fotografije,
home.changeUser,Change user,,,,,Promijeni korisnika,,,Promijeni korisnika,
common.ok,Ok,Ok,Ok,OK,Ok,Ok,Во ред,ОК,Ok,OK
common.success,Success,Successo,Succes,Erfolg,Succes,Uspjeh,,,Uspjeh,
common.error,Error,Errore,Fejl,Fehler,Fout,Greška,,,Greška,
common.loading,Loading...,Caricamento...,Loading...,Lädt...,Laden...,Učitavanje...,Вчитување,зареждане,Učitavanje...,Se încarcă...
common.uploading,Uploading...,Caricamento...,Uploading...,Hochladen...,Aan het uploaden...,Prijenos...,,,Prijenos...,
common.uploadPhoto,Upload photo,Carica foto,Upload billede,Foto hochladen,Upload foto,Prenesi fotografiju,,,Prenesi fotografiju,
common.tags,Tags (comma separated),Tags,Tags,Tag,Labels (gescheiden door comma's),Oznake (odvojene zarezom),,,Oznake (odvojene zarezom),
common.privacy,Privacy,Privacy,Privatliv,Privatsphäre,Privacy,Privatnost,,,Privatnost,
common.public,Public,Pubblico,Offentlig,öffentlich,Publiek,Javno,,,Javno,
