keys,en-US,it-IT,da-DK,de-AT,nl-NL,sr-SP,mk-MK,bg-BG,hr-HR,ro-RO
applications.addNew,Add new application,Aggiungi nuova applicazione,tilføj en ny applikation,neue Anwendung hinzufügen,Nieuwe applicatie toevoegen,Dodaj novi program,Додади нова апликација,Добави нова програма,Dodaj novi program,Adaugă aplicație nouă
applications.availableServices,Available services,Servizi disponibili,tilgængelig service,verfügbare Services,Beschikbare diensten,Dostupni servisi,Достапни сервиси,Налични услуги,Dostupne usluge,Serviciu disponibil
applications.contacts,Contacts,Contatti,kontakter,Kontakte,Contacten,Kontakti,Контакти,контакти,Kontakti,Contacte
applications.dependsOnServices,Depends on services,Dipende dai servizi,afhænger af service,Abhängig vom Service,Hangt af van diensten,Zavisi od usluga,Зависи од услугата, зависи от услуги,Zavisi od usluga,Depinde de servicii
applications.detail,Application detail,Dettaglio applicazione,detaljer om applikationerne,Details der Anwendung,Applicatie detail,Detalji programa,Детали на апликацијата,детайли,Detalji programa,Detaliu aplicație
applications.enterName,Enter application name,Inserisci il nome dell'applicazione,indtast navnet på applikationen ,Name der Anwendung eingeben,Voer applicatie naam in,Unesi naziv programa,Внеси го името на апликацијата,въведи име,Unesi naziv programa,Introdu numele aplicației
applications.games,Games,Giochi,spil ,Spiele,Spellen,Igre,Игри,Игри,Igre,Jocuri
applications.health,Health,Salute,sundhed,Gesundheit,Gezondheid,Zdravlje,Здравје,Здраве,Zdravlje,Sănătate
applications.hidden,Hidden,Nascosta,Gemt,,Verborgen,Sakriven,,,Sakriven,
applications.house,House,Casa,Hjem ,Haus,Huis,Kuća,Куќа,Къща,Kuća,Casă
applications.minimized,Minimized,Minimizzata,Minimeret,,Geminimaliseerd,Minimizovan,,,Minimiziran,
applications.name,Application name,Nome dell'applicazione,Navn på applikation,Name der Anwendung,Applicatie naam,Naziv programa,Име на апликацијата,Име,Naziv programa,Numele aplicației
applications.selectType,Select type,Seleziona il tipo,Vælg type,Typ auswählen,Selecteer type,Izaberi tip,Одбери тип,Избери тип,Izaberi tip,Selectează tipul
applications.type,Type,Tipo,Type,Typ,Type,Tip,Тип,Тип,Tip,Tip
applications.web_app,Web App,Web App,Web App,Web App,Web applicatie,Web aplikacija,,,Web aplikacija,
common.actions,Actions,Azioni,Handling,Tätigkeiten,Acties,Akcije,Акции,Действие,Akcije,Acțiuni
common.all,All,Tutti,All,alle,Alles,Sve,Сите,всички,Sve,Toate
common.cancel,Cancel,Annulla,Annuller,Löschen,Annuleer,Odustani,Откажи,отказ,Odustani,Închide
common.country,Country,Paese,Land,Staat,Land,Država,Држава,държава,Država,Țara
common.dataError,Error while fetching the data!,Errore durante il recupero dei dati!,Fejl ved hentning af data,Fehler beim Laden der Daten!,Er is een fout opgetreden bij het laden van de data!,Greška prilikom preuzimanja podataka!,Грешка при превземање на податоците,грешка в данните,Greška prilikom preuzimanja podataka!,Eroare la prelucrarea datelor
common.deleteError,Delete failed!,Eliminazione fallita!,Slet fejlen,Löschen fehlgeschlagen!,Verwijderen mislukt!,Neuspješno brisanje!,Неуспешно бришење,изтрий грешката,Neuspješno brisanje!,Ștergere nereușită
common.details,details,dettagli,detaljer,Details,details,detalji,Детали,детайли,detalji,Detalii
common.enterCountry,Enter country,Inserisci il paese,Indtast land,Land eingeben,Voer land in,Unesi državu,Внеси држава,въведи държава,Unesi državu,Introdu țara
common.enterUrl,Enter url,Inserisci url,Indtast url,Url eingeben,Voer internet adres in,Unesi url,Внеси url,въведи URL,Unesi url,Introdu URL
common.error,Error,Errore,Fejl,Error,Fout,Greška,Грешка при превземање на податоците,грешка,Greška,Eroare
common.loading,Loading...,Caricamento...,Loading...,Lädt...,Laden...,Učitavanje...,Вчитување,зареждане,Učitavanje...,Se încarcă...
common.loginFailed,Log in failed,Accesso fallito,Fejl ved login,Einloggen fehlgeschlagen,Inloggen mislukt,Neuspješno prijavljivanje,Неуспешно пријавување,зареждането неуспешно,Neuspješno prijavljivanje,Autentificare nereușită
common.name,Name,Nome,Navn,Name,Naam,Ime,Име на апликацијата,име,Ime,Nume
common.no,No,No,Nej,Nein,Nee,Ne,Не,не,Ne,Nu
common.none,none,nessuno,ingen,keines,Geen,nijedno,Ниедно,никакво,nijedno,Nimic
common.ok,Ok,Ok,Ok,OK,Ok,Ok,Во ред,ОК,Ok,OK
common.other,other,altro,andre,andere,Andere,ostalo,Останато,друго,ostalo,Alte
common.refreshNow,Refresh now,Aggiorna adesso,Opdater,Jetzt aktualisieren,Ververs nu,Osvježi,,,Osvježi,
common.refreshInterval,Refresh interval,Aggiorna intervallo,Opdater interval,Intervall aktualisieren,Ververs interval,Interval osvježavanja,,,Interval osvježavanja,
common.never,never,mai,aldrig,nie,nooit,nikad,,,nikad,
common.total,total,totale,i alt,total,totaal,ukupno,,,ukupno,
common.used,used,utilizzato/a,brugt,genutzt,gebruikt,iskorišćeno,,,iskorišteno,
